,idx,RECOGNIZER_DT,RECOGNIZER_ID,AURA_ID,CHANNEL_CD,CORR_ID,STATUS_CD,REASON,VERSION_ID,DURATION_NU,SCORE_NU,INPUT,OUTPUT,INTENT,ENTITIES,AURA_ID_GLOBAL,num_file
652013,1557818,2018-12-01T09:21:26.983Z,cognitive-multiluis-recognizer,d803475a-bec8-2083-13a3-5c77c516a9a6,movistar-plus,73b50633-9ded-548b-ab52-5082ed0fe905,200.0,,2.5.1,129.0,0.9993515,avisame cuando pongas un capitulo nuevo de maki,"{""score"":0.9993515,""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.from_beginning"",""score"":0.9993515},{""intent"":""None"",""score"":0.9762002},{""intent"":""tef.int.es_ES.mp.tv.question_time_loc"",""score"":0.9224845},{""intent"":""tef.int.es_ES.mp.tv.record"",""score"":0.00220639259},{""intent"":""tef.int.es_ES.mp.tv.search_similar"",""score"":0.000917693949},{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.000420230848},{""intent"":""tef.int.es_ES.mp.tv.launch"",""score"":0.0000427673222},{""intent"":""tef.int.es_ES.mp.tv.content_get_info"",""score"":8.52069e-7},{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":1.22243838e-11}],""entities"":[],""compositeEntities"":[]}",tv.from_beginning,,,357
14107,77807,2019-02-03T19:35:30.098Z,nlp-recognizer,b9cd2bc5-5411-9b27-b5fe-eceaf7d321cb,movistar-plus,60685649-19d7-5d8b-b66f-30d4a5653d45,200.0,,3.0.3,33.0,1.0,coches,"{""score"":1,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":1}],""entities"":[{""type"":""tef.audiovisual_sports"",""entity"":""coches"",""label"":""DPAUTO"",""canon"":""coches"",""start_index"":0,""end_index"":6,""score"":1}]}",tv.search,coches,ef8bd731-4a86-a452-c8d6-25caa18fa939,19
313048,189302,2019-01-05T22:52:00.628Z,nlp-recognizer,5d1159ed-c8bd-87f0-954c-e83052e96a57,movistar-home,e7c62fbf-523c-5b7b-a9f6-ccac4668a0fa,200.0,,3.0.3,44.0,0.28653901800000003,ACTIVAR TODOS LOS TOROS,"{""score"":0.286539018,""intent"":""tef.int.es_ES.mh.tv.content_get_info"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.content_get_info"",""score"":0.286539018}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""LOS TOROS"",""label"":"""",""canon"":""toros tv"",""start_index"":14,""end_index"":23,""score"":0.9999999999999999}]}",tv.content_get_info,LOS TOROS,d6897ad7-ffae-c191-34ce-81ceb472de02,41
807158,265088,2018-12-18T10:08:36.633Z,nlp-recognizer,1c33f2e8-9867-def9-ca61-b585040acd60,movistar-home,67baefab-e1b4-541c-9350-19f8440c069a,200.0,,3.0.3,67.0,0.1405075,EN LA OBRA COLGAR TELÉFONO,"{""score"":0.1405075,""intent"":""tef.int.es_ES.mh.communications.add_contact"",""intents"":[{""intent"":""tef.int.es_ES.mh.communications.add_contact"",""score"":0.1405075}],""entities"":[{""type"":""tef.device_phone"",""entity"":""TELÉFONO"",""label"":"""",""canon"":""telefono"",""start_index"":18,""end_index"":26,""score"":0.9999999999999105}]}",communications.add_contact,TELÉFONO,eb248f32-6230-8c4f-4e9e-0b1aaa630d54,53
1304226,1447574,2019-03-30T20:34:35.868Z,nlp-recognizer,bd656210-535e-13be-8a4c-bd10e46c7936,movistar-plus,d7ad471b-7acd-51a8-972d-bb5418539d2d,200.0,,3.0.3,18.0,,Divinity,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,cc7d709b-058a-997e-e75a-da4775450b0c,385
586539,1644704,2019-01-19T20:40:32.106Z,nlp-recognizer,c326fa92-d521-4919-276a-dd9a73117494,movistar-home,cfd0463d-7e97-5efe-bc56-258979f014f7,200.0,,3.0.3,70.0,0.8952026,ME PUEDES CAMBIAR EL DECODIFICADOR AL CANAL CUARENTA Y UNO,"{""score"":0.8952026,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.8952026}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""UNO"",""label"":"""",""canon"":""la 1"",""start_index"":55,""end_index"":58,""score"":0.7305971132419381}]}",tv.display,UNO,0ddbf7f1-4e59-2870-3479-609c5441bc30,396
1316764,1498041,2019-03-31T19:46:02.620Z,nlp-recognizer,f8450ed1-8417-f973-5c7c-c88ff7a878fe,movistar-home,7452f70d-7293-5fec-811f-6d3412a1bb0e,200.0,,3.0.3,48.0,0.8549863000000001,PILLA LA DARRERA DON SIMÓN UNA EMPRESA FAMILIAR ALGUNA CARTA,"{""score"":0.8549863,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.8549863}],""entities"":[{""type"":""tef.audiovisual_director"",""entity"":""SIMÓN"",""label"":"""",""canon"":""simon"",""start_index"":21,""end_index"":26,""score"":0.9647737961954576},{""type"":""tef.audiovisual_subgenre"",""entity"":""FAMILIAR"",""label"":"""",""canon"":""familiar"",""start_index"":39,""end_index"":47,""score"":0.9999999898530041}]}",tv.search,"SIMÓN,FAMILIAR",d7585be2-fc50-19d5-8372-d7de261973d2,397
1109379,905789,2019-03-08T23:36:57.802Z,nlp-recognizer,33fe15fb-d443-9123-2850-2d6e9f202214,movistar-plus,f5b33814-1671-560c-9fe8-e0e94b5f6892,200.0,,3.0.3,83.0,0.7461788,Cosas de motos,"{""score"":0.7461788,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.7461788}],""entities"":[{""type"":""tef.audiovisual_sports"",""entity"":""motos"",""label"":""DPMOTO"",""canon"":""motociclismo"",""start_index"":9,""end_index"":14,""score"":1}]}",tv.search,motos,da1dc255-1a8b-28cc-80b7-42aa59747d62,239
761610,119474,2018-12-15T17:22:44.017Z,nlp-recognizer,f656087f-5a04-61a9-2b7d-454c5d8e104f,movistar-home,9786d7c7-f029-5be8-8523-60c8dd229f07,200.0,,3.0.2,65.0,0.6381280420000001,VEN VEN VEN VOZ,"{""score"":0.638128042,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0.638128042}],""entities"":[]}",None,,0a190852-91a8-f2df-71a6-f2eaa95195af,28
606455,1753171,2019-01-23T22:50:11.199Z,nlp-recognizer,26ce42fe-e076-cdbe-142e-abf7598f5fef,movistar-home,761d93b0-0ef7-5e24-9519-b72f42ec5ed1,200.0,,3.0.3,16.0,1.0,PARA LA TELE,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.pause"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.pause"",""score"":1}],""entities"":[]}",tv.pause,,398dfe79-243a-3ed5-69dd-394a7b234816,424
892403,1175456,2018-12-22T14:06:41.160Z,nlp-recognizer,7f745b63-e0ef-cceb-24ec-88e3980a0308,movistar-home,d6005198-fbc5-564a-86dc-cf4df28f39b3,200.0,,3.0.3,21.0,,TELE,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,091c43da-c737-3748-89c9-19de511ef87d,268
963442,658710,2018-12-27T10:30:01.748Z,nlp-recognizer,fd9fadf1-9f9a-ee86-8bc4-3188fd12b54a,movistar-home,154e4e18-c14f-50a2-a5a0-64b1bcf6d16e,200.0,,3.0.3,48.0,0.9996521999999999,QUIERO VER POCOYÓ,"{""score"":0.9996522,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9996522}],""entities"":[{""type"":""tef.audiovisual_tvseries_title"",""entity"":""POCOYÓ"",""label"":"""",""canon"":""pocoyo"",""start_index"":11,""end_index"":17,""score"":0.9999961483968146}]}",tv.display,POCOYÓ,37a6ba48-b60d-c80a-10db-41b230239427,144
769333,146008,2018-12-16T12:30:04.729Z,nlp-recognizer,657b8c2d-cd09-8ced-3401-e9fe7a9ab62c,movistar-home,11b136b9-fd44-54e5-bbc1-0dd7dba5b809,200.0,,3.0.2,50.0,0.999181867,DAME LA CLAVE DE LA WIFI LA SEÑAL,"{""score"":0.999181867,""intent"":""tef.int.es_ES.mh.wifi.get_access"",""intents"":[{""intent"":""tef.int.es_ES.mh.wifi.get_access"",""score"":0.999181867}],""entities"":[{""type"":""tef.wifi"",""entity"":""WIFI"",""label"":"""",""canon"":""wifi"",""start_index"":20,""end_index"":24,""score"":1}]}",wifi.get_access,WIFI,deb9b8b6-9e9a-a9bf-21f9-7f5380adf4e2,34
167195,904835,2019-02-08T14:58:23.465Z,nlp-recognizer,db103a47-4046-afc0-d3b4-3ec9c9cab52e,movistar-home,d8979557-4ef6-5fa3-b47d-06a5e0d33b9c,200.0,,3.0.3,38.0,0.6681994000000001,AVANZA LA TELEVISIÓN,"{""score"":0.6681994,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.6681994}],""entities"":[{""type"":""tef.device_tv"",""entity"":""TELEVISIÓN"",""label"":"""",""canon"":""television"",""start_index"":10,""end_index"":20,""score"":0.9999999999999999}]}",tv.search,TELEVISIÓN,25560a57-db7c-87cf-0780-bcf9e9fb96b3,225
341733,337648,2019-01-09T22:11:57.783Z,nlp-recognizer,1c419f6c-fdf6-8914-ad22-20e30803e76b,movistar-plus,8492e289-6c5b-5d4a-9785-acb8f4f67d55,200.0,,3.0.3,59.0,0.7886680359999999,ver partido Real Madrid,"{""score"":0.788668036,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.788668036}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""Real Madrid"",""label"":"""",""canon"":""real madrid"",""start_index"":12,""end_index"":23,""score"":0.9999992518706654},{""type"":""tef.audiovisual_sports_unit"",""entity"":""partido"",""label"":""PARTIDO"",""canon"":""partido"",""start_index"":4,""end_index"":11,""score"":0.9999999999999998}]}",tv.display,"Real Madrid,partido",5672eaf5-b7d3-9aa2-3428-97d48b63601d,78
272218,1472960,2019-02-28T15:59:24.996Z,nlp-recognizer,db471d54-2693-e37d-9cc3-a4146b1fff5f,movistar-home,bc0e3ef5-ddd1-50c5-a85d-16f046fed5b1,200.0,,3.0.3,133.0,0.9828627000000001,EH TÍO QUE SALGA DE LA SERIE,"{""score"":0.9828627,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.9828627}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""SERIE"",""label"":""SR"",""canon"":""series de television"",""start_index"":23,""end_index"":28,""score"":1}]}",tv.search,SERIE,b486d704-d97a-567e-4b43-ee3c94dea7ae,366
372999,501667,2019-01-13T21:19:06.092Z,nlp-recognizer,da61f184-9768-6f11-2d66-34f264e1ecd9,movistar-home,013b5eea-add8-5ae8-9054-b722e8a39f72,200.0,,3.0.3,67.0,0.9916656999999999,DEL NORTE CON BACALAO IMPRESIONANTE A LA FAMILIA,"{""score"":0.9916657,""intent"":""tef.int.es_ES.mh.tv.search_similar"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search_similar"",""score"":0.9916657}],""entities"":[{""type"":""tef.audiovisual_tvseries_title"",""entity"":""LA FAMILIA"",""label"":"""",""canon"":""la familia"",""start_index"":38,""end_index"":48,""score"":0.9967182714285516}]}",tv.search_similar,LA FAMILIA,5496c4ea-59ca-e954-7b51-d242b81b4c1d,115
904957,537023,2018-12-22T23:57:19.168Z,nlp-recognizer,b97aa2fb-a3a0-e5cf-978b-d6b13b229c28,movistar-plus,59aa3ed5-8d22-5f94-95ba-70a4826e40a0,200.0,,3.0.3,96.0,0.334492832,Conectar con tv,"{""score"":0.334492832,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.334492832}],""entities"":[{""type"":""tef.device_tv"",""entity"":""tv"",""label"":"""",""canon"":""television"",""start_index"":13,""end_index"":15,""score"":0.9999999999999998}]}",tv.display,tv,43e28047-b911-e5e6-9156-1a17134ec5b6,111
90080,487154,2019-02-19T20:05:27.944Z,nlp-recognizer,880e14bc-84f0-cc45-71ed-dc3f5a4a633a,movistar-plus,dca52494-8cd1-56eb-8eca-22a4f8b2d8d2,200.0,,3.0.3,58.0,,Duplicar a otra pantalla,"{""score"":0,""intent"":""tef.int.es_ES.mp.tv.none"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.none"",""score"":0}],""entities"":[]}",tv.none,,6ee1cc24-f548-8017-271b-305e091cf137,119
352714,394067,2019-01-11T16:58:48.607Z,nlp-recognizer,34d0f03e-bcd3-a4b2-a6eb-80c3a7a44561,movistar-home,30fd5fef-42e1-53ba-92b4-5d07d0fb06d6,200.0,,3.0.3,68.0,0.9690072540000001,SÍ MI HERMANA ESTÁ DORMIDA QUÉ ES LO QUE HACEMOS,"{""score"":0.969007254,""intent"":""tef.int.es_ES.mh.tv.vod_epg_information"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.vod_epg_information"",""score"":0.969007254}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""DORMIDA"",""label"":"""",""canon"":""dormida"",""start_index"":19,""end_index"":26,""score"":0.8357339091641669}]}",tv.vod_epg_information,DORMIDA,d0f8302f-7fd3-eeb4-6732-34a763530586,90
791135,969627,2018-12-17T18:30:56.528Z,nlp-recognizer,f6f79e19-b970-e156-fd35-2dc28131a0ec,movistar-home,61685e0a-1ee5-5b04-bd09-2bd76f1d53bf,200.0,,3.0.2,60.0,0.9989376659999999,CAMBIAR DE CANAL,"{""score"":0.998937666,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.998937666}],""entities"":[]}",tv.display,,41b27606-1bcc-d88d-8989-915e1195d9aa,220
768706,143821,2018-12-16T11:23:45.178Z,nlp-recognizer,b25bd5a3-0dff-20bf-82a3-68a80a5ebd47,movistar-plus,f3fe066b-f48c-55a5-82e9-e3e8ba685ac4,200.0,,3.0.2,99.0,0.254497677,hola ahora son de pago,"{""score"":0.254497677,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.254497677}],""entities"":[{""type"":""tef.time_instant"",""entity"":""ahora"",""label"":"""",""canon"":""ahora"",""start_index"":5,""end_index"":10,""score"":0.9999999999998783}]}",tv.search,ahora,a58f7b21-d807-c0fa-7028-70853e6a63a4,34
353048,395674,2019-01-11T17:30:23.829Z,nlp-recognizer,85053ab1-1190-ac4d-e968-872b6b89785d,movistar-home,a6f805f2-1dbf-5826-9203-fc9730b7ac4a,200.0,,3.0.3,15.0,1.0,LLAMAR AL LEY,"{""score"":1,""intent"":""tef.int.es_ES.mh.communications.call_by_name"",""intents"":[{""intent"":""tef.int.es_ES.mh.communications.call_by_name"",""score"":1}],""entities"":[{""type"":""tef.com_name"",""entity"":""LEY"",""label"":"""",""canon"":""ley"",""start_index"":10,""end_index"":13,""score"":1}]}",communications.call_by_name,LEY,f613ed7c-8dcb-f9d5-3b12-5513103734c0,91
253836,1374525,2019-02-24T18:35:38.268Z,nlp-recognizer,dd9c6276-953d-0192-220f-8340cea4fe5a,movistar-home,7cef1af4-5055-5de9-9ddf-128bff3f091b,200.0,,3.0.3,45.0,0.97478956,OK AHORA PON EL CANAL SIETE,"{""score"":0.97478956,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.97478956}],""entities"":[{""type"":""tef.time_instant"",""entity"":""AHORA"",""label"":"""",""canon"":""ahora"",""start_index"":3,""end_index"":8,""score"":1}]}",tv.display,AHORA,92b444ca-2260-b93f-f300-b7a5a8da6517,341
625245,1862507,2019-01-26T11:59:33.637Z,nlp-recognizer,3b0ea05f-97c5-1e8b-ba06-4e492be97ad6,movistar-plus,5d9a441b-c670-57b3-9477-b5bddb0dae91,200.0,,3.0.3,55.0,0.9913903000000001,ver al Sevilla,"{""score"":0.9913903,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.9913903}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""Sevilla"",""label"":"""",""canon"":""sevilla"",""start_index"":7,""end_index"":14,""score"":1}]}",tv.display,Sevilla,c611d704-882e-b32f-ce94-99f35bd5ed26,445
587867,1652360,2019-01-19T23:00:11.812Z,nlp-recognizer,5d12978e-0ae4-9ed5-9beb-1dbff23a1e11,movistar-plus,5bcc923f-afd7-50a9-9ce4-e1cdb129752b,200.0,,3.0.3,45.0,0.9542934999999999,quiero ver películas de ciencia ficción,"{""score"":0.9542935,""intent"":""tef.int.es_ES.mp.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.display"",""score"":0.9542935}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""películas"",""label"":""CN"",""canon"":""peliculas"",""start_index"":11,""end_index"":20,""score"":1.0000000000000002},{""type"":""tef.audiovisual_subgenre"",""entity"":""ciencia ficción"",""label"":""CF"",""canon"":""ciencia ficcion"",""start_index"":24,""end_index"":39,""score"":0.999999999999998}]}",tv.display,"películas,ciencia ficción",b0a8c481-a48a-6312-374a-0b0ee300f6e0,398
123682,670645,2019-02-26T14:41:34.137Z,nlp-recognizer,f742bbb2-8fa7-a86d-94fb-387b95d74f6c,movistar-home,a47758ea-9b62-54b2-b0b3-8e015d529c27,200.0,,3.0.3,43.0,0.9991821,PON EN MTV,"{""score"":0.9991821,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9991821}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""MTV"",""label"":"""",""canon"":""mtv"",""start_index"":7,""end_index"":10,""score"":1}]}",tv.display,MTV,d0724e42-c9b7-9168-da42-8d43d14011d5,164
952704,1353823,2018-12-26T15:48:16.454Z,nlp-recognizer,bbe5ee02-99c9-ec59-217c-31d1591f6b94,movistar-home,532def11-7d45-53a1-abee-7a016fbc2d16,200.0,,3.0.3,44.0,0.11173134300000001,HABRÁ MENOS JAVIER ACONDICIONADO GETAFE,"{""score"":0.111731343,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.111731343}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""GETAFE"",""label"":"""",""canon"":""getafe"",""start_index"":33,""end_index"":39,""score"":1}]}",tv.search,GETAFE,f43f4174-4642-d9a7-ac5a-8d27c0cf6eb8,308
176841,955715,2019-02-09T17:24:25.102Z,nlp-recognizer,37c87ecb-13d6-a131-929c-0dd23c2ec82b,movistar-home,66cc4cca-2fb4-509d-a557-6139d64a8635,200.0,,3.0.3,62.0,0.8985303640000001,EL DE CONTACTO,"{""score"":0.898530364,""intent"":""tef.int.es_ES.mh.communications.add_contact"",""intents"":[{""intent"":""tef.int.es_ES.mh.communications.add_contact"",""score"":0.898530364}],""entities"":[]}",communications.add_contact,,2b9fa892-1dac-0aff-4bbd-f36a22eac8fd,239
311376,180742,2019-01-05T20:02:16.424Z,nlp-recognizer,dede4e80-3198-1914-f5cb-a71eae12837b,movistar-home,2b76cd05-b03e-5513-9d43-97e7d1db0e5d,200.0,,3.0.3,88.0,0.6902087,PONME LA GUÍA,"{""score"":0.6902087,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0.6902087}],""entities"":[]}",None,,a0e41cee-d851-c9f4-c08e-7bf01bde9761,39
546453,1427814,2019-01-12T13:29:06.728Z,nlp-recognizer,3d62dbec-a195-702a-7989-7546eb843b8c,movistar-home,a350b601-0568-5cfd-8e8c-a20852f6ad94,200.0,,3.0.3,98.0,0.9554545,CON ARREGLO,"{""score"":0.9554545,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0.9554545}],""entities"":[]}",None,,7e24dac2-29be-6015-2700-8d58b6bfe9a8,341
311867,183269,2019-01-05T20:54:15.375Z,nlp-recognizer,0217f288-9ab2-ad8f-76c3-b7fb6e2ab5d9,movistar-home,7bbcd29a-563a-5ac8-9937-37fc2059a0b4,200.0,,3.0.3,78.0,0.9123773999999999,QUIERO BARCELONA,"{""score"":0.9123774,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.9123774}],""entities"":[{""type"":""tef.audiovisual_sports_team"",""entity"":""BARCELONA"",""label"":"""",""canon"":""barcelona"",""start_index"":7,""end_index"":16,""score"":0.999999999999973}]}",tv.search,BARCELONA,e226248b-7011-432d-7ab3-2972f6c76b8c,39
156385,847925,2019-02-05T20:38:59.689Z,nlp-recognizer,e0fca47c-8d15-54ae-1a27-78d32c67fc5f,movistar-plus,987303a4-4cd0-5115-a2e4-d88944e2c794,200.0,,3.0.3,76.0,0.9932511,el milagro,"{""score"":0.9932511,""intent"":""tef.int.es_ES.mp.tv.none"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.none"",""score"":0.9932511}],""entities"":[]}",tv.none,,fe377778-d66b-7fdc-04bd-68db8bae4ee0,210
1283326,628278,2019-03-29T01:48:17.576Z,nlp-recognizer,0ca5fcfe-ded8-f167-b14e-15cf585f697a,movistar-home,b88fabc4-2f31-5128-b717-7b145860d62a,200.0,,3.0.3,23.0,,SÍ HORA,"{""score"":0,""intent"":""None"",""intents"":[{""intent"":""None"",""score"":0}],""entities"":[]}",None,,33e0e45e-ec55-c3fc-05e6-cf66ebcfa3b8,167
837707,343967,2018-12-19T15:54:51.062Z,nlp-recognizer,834b3a33-c409-c1cd-cd7c-67ab4e423726,movistar-home,29112aa0-ccc1-5db6-992c-917d2586d9c7,200.0,,3.0.3,15.0,1.0,SIGUIENTE,"{""score"":1,""intent"":""tef.int.es_ES.mh.carousel.next"",""intents"":[{""intent"":""tef.int.es_ES.mh.carousel.next"",""score"":1}],""entities"":[]}",carousel.next,,2204de87-b585-a5d1-46c1-ab7bbe92415c,68
902485,528905,2018-12-22T21:20:06.587Z,nlp-recognizer,6029d8f6-d624-3ce4-f358-9e74b880cbae,movistar-home,441f7e4b-c08a-54bb-98a2-5c7d880e68dc,200.0,,3.0.3,15.0,1.0,ENCIENDE LA TELEVISIÓN,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.on"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.on"",""score"":1}],""entities"":[]}",tv.on,,a73b793a-369c-72d6-adbd-16070f88495b,110
843195,1076397,2018-12-19T19:14:21.582Z,nlp-recognizer,b4aea38f-b235-786b-3d0b-e552727b8f95,movistar-home,f8884bbf-dd28-5e36-b20a-5c67a1ee3746,200.0,,3.0.3,44.0,0.19390904899999997,APAGA MÓVIL STAR PLUS,"{""score"":0.193909049,""intent"":""tef.int.es_ES.mh.communications.call"",""intents"":[{""intent"":""tef.int.es_ES.mh.communications.call"",""score"":0.193909049}],""entities"":[{""type"":""tef.device_movil"",""entity"":""MÓVIL"",""label"":"""",""canon"":""telefono movil"",""start_index"":6,""end_index"":11,""score"":0.9999999624111822}]}",communications.call,MÓVIL,51319b4f-3457-a36b-f030-cd94530b77bf,245
70012,377600,2019-02-15T16:09:05.848Z,nlp-recognizer,e5492646-dbc7-3dcf-2d68-c5d30397fa97,movistar-home,c48a4103-2a15-5a59-a23f-e5c003939626,200.0,,3.0.3,45.0,0.9441811,PONME UNA PELÍCULA COMEDIA BILL,"{""score"":0.9441811,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9441811}],""entities"":[{""type"":""tef.audiovisual_genre"",""entity"":""PELÍCULA"",""label"":""CN"",""canon"":""peliculas"",""start_index"":10,""end_index"":18,""score"":1},{""type"":""tef.audiovisual_subgenre"",""entity"":""COMEDIA"",""label"":""HU"",""canon"":""humor"",""start_index"":19,""end_index"":26,""score"":1},{""type"":""tef.audiovisual_film_title"",""entity"":""BILL"",""label"":"""",""canon"":""bill"",""start_index"":27,""end_index"":31,""score"":0.999999732013519}]}",tv.display,"PELÍCULA,COMEDIA,BILL",7ea314fb-dbef-a748-0b8d-1d4e3d3a1aa3,92
936053,1288622,2018-12-25T11:47:27.894Z,nlp-recognizer,c8ed111c-90b8-2fff-1e39-b16111172b79,movistar-home,0236e669-8cb1-566c-aec0-a60cbcb710c8,200.0,,3.0.3,349.0,1.0,PARA LA TELEVISIÓN,"{""score"":1,""intent"":""tef.int.es_ES.mh.tv.pause"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.pause"",""score"":1}],""entities"":[]}",tv.pause,,93163ca2-a721-0509-d6bf-e3b0e7af5c1f,294
921725,568657,2018-12-24T10:43:20.988Z,nlp-recognizer,1c4b3d50-7bbb-d2b3-1dbb-67701a616c11,movistar-home,fa5641fa-064e-5e85-bc5d-d6b17bd6bc41,200.0,,3.0.3,48.0,0.486868143,TODAS LAS CINCO,"{""score"":0.486868143,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.486868143}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""CINCO"",""label"":"""",""canon"":""telecinco"",""start_index"":10,""end_index"":15,""score"":1}]}",tv.search,CINCO,ed498057-ac5f-b4d3-56df-87e127f4b1d3,120
364787,456384,2019-01-12T21:59:52.048Z,nlp-recognizer,df69806a-515f-20ac-652c-ce01415384aa,movistar-plus,c565a0fd-c28c-5781-bbf4-691028489050,200.0,,3.0.3,49.0,0.829586565,NBA,"{""score"":0.829586565,""intent"":""tef.int.es_ES.mp.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mp.tv.search"",""score"":0.829586565}],""entities"":[{""type"":""tef.audiovisual_sports_season"",""entity"":""NBA"",""label"":""DPBC-NBA"",""canon"":""nba"",""start_index"":0,""end_index"":3,""score"":0.9999999999977492}]}",tv.search,NBA,9a1dcc5d-6134-b701-6b81-b309c77cf965,104
227472,1228488,2019-02-19T21:53:42.469Z,nlp-recognizer,abd2a62e-b0e4-d2e3-a0df-9627f94ec179,movistar-home,dc3e403e-bea3-5a59-b0d5-d096fb12b098,200.0,,3.0.3,61.0,0.9999447,PONME ANTENA TRES,"{""score"":0.9999447,""intent"":""tef.int.es_ES.mh.tv.display"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.display"",""score"":0.9999447}],""entities"":[{""type"":""tef.audiovisual_channel"",""entity"":""ANTENA TRES"",""label"":"""",""canon"":""antena 3"",""start_index"":6,""end_index"":17,""score"":0.9999999999999998}]}",tv.display,ANTENA TRES,efe59c76-6776-45dd-7426-bb9f12ece91f,307
888781,487098,2018-12-22T10:52:07.526Z,nlp-recognizer,1debb7b0-af47-ebc0-df4a-e8a245460589,movistar-home,d58b0cf4-5455-5613-8fe7-537bc56a351e,200.0,,3.0.3,57.0,0.419590533,NO A LA TELEVISIÓN,"{""score"":0.419590533,""intent"":""tef.int.es_ES.mh.tv.search"",""intents"":[{""intent"":""tef.int.es_ES.mh.tv.search"",""score"":0.419590533}],""entities"":[{""type"":""tef.device_tv"",""entity"":""TELEVISIÓN"",""label"":"""",""canon"":""television"",""start_index"":8,""end_index"":18,""score"":0.9999999999999998}]}",tv.search,TELEVISIÓN,963f1217-ed4c-b511-f468-ba0fa54a72d4,100
